OBJECTID_1,OBJECTID,ROADWAY,BEGIN_POST,END_POST,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_C,CONTYDOT,AADT_2024,NOLANES_To,MAXSPEED_M,IsSignaliz,Countermea,Counterme1,Counterme2,LocationID,LocationSt,CrashModif,CostScenar,CostEstima,TotalLives,Crash_Save,Crash_Sav1,Crash_Sav2,Crash_Sav3,Benefit_Al,Benefit_KA,CostPerLif,CrashSavin,CostBenefi,PresentVal,PresentVa1,NetPresent,Intersecti,FDOT Manag,FDOT Count,Intersect1,Intersect2,Entering V,AADT Major,AADT Minor,Signalized,CentralPoi,CentralPo1,Counterme3,Serious In,Intersect3,Match_Stat,Matched_ID,Match_Cnt,Ovl_Ft,Ovl_Mi,Ovl_Pct,Ang_Dif,Min_Ft,QC_Flag,WP_IDs,WP_Count
108394,270716,93180000,2.152,2.556,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  802,4,PALM BEACH,41000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-05403,Potential Location,0.906000018,1,13357.2024403125,0.145057045732854,0.0567794721868601,0.189817505558992,0.29342968108246,0.921319464754672,182412.334256459,,92082.4105635787,14.7585182815627,110.766265513634,1479527.43202301,13357.2024403125,1466170.2295827,CIS,4,93,93180000 = 2.465|93A14316 = .989,LAKE WORTH RD|NASSAU RD|OHIO RD,20250,93180000,93A14316,Y,-80.16501,26.61751481,10,6.04037053824756,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
38191,88997,26250000,1.697,2.101,GAINESVILLE,URBAN MINOR ART,DIVIDED,,SR  121,2,ALACHUA,39500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-03213,Potential Location,0.906000018,1,13357.2024403125,0.101068291726433,0.0426381855720889,0.169131469435952,0.305968461281193,0.994969956284985,253180.15993463,,132160.168259964,15.2281490174686,153.738621526962,2053517.89063022,13357.2024403125,2040160.68818991,CIS,2,26,26250000 = 1.703,SW 34TH ST|WINDMEADOWS BLVD,17000,26250000,26A05444,Y,-82.372565,29.62838,10,4.53597805711163,On-System / Off-System,On Corridor,207712-6,2,2136,0.4,100,0,0.5,Verified Match,207712-6,2
81347,171350,77080000,7.874,8.1,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,,SR  436,5,SEMINOLE,72500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-01622,Potential Location,0.906000018,1,13357.2024403125,0.0980520177326313,0.0413656949809538,0.16408392342445,0.296837163057771,0.965276152694443,245624.271543596,,136225.676423457,14.7736813593088,149.150458434132,1992232.86737011,13357.2024403125,1978875.6649298,CIS,5,77,77080000 = 7.924|77A05793 = .468,FERN PARK BLVD|SEMORAN BLVD,33500,77080000,77A05793,Y,-81.33490088,28.65668431,10,4.40060669170701,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
115325,254605,92090000,6.077,6.091,ORLANDO,URBAN PRIN ART OTHER,DIVIDED,US  192,SR  530,5,OSCEOLA,57500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04406,Potential Location,0.906000018,1,13357.2024403125,0.0926311177980022,0.0362584661095037,0.1212144341471,0.18737951828853,0.588339928185597,156690.759621044,,144197.789661139,9.42455458510531,95.1473503941687,1270902.42087426,13357.2024403125,1257545.21843395,CIC,5,92,92090000 = 6.09|92A00063 = .202,CELEBRATION PL|PARKWAY BLVD|W IRLO BRONSON MEMORIAL HWY,29500,92090000,92A00063,Y,-81.53461975,28.33268,10,3.85728436729953,On-System / Off-System,On Corridor,445362-4,1,74,0.01,100,0,0.9,Verified Parallel Fallback,445362-4,1
39454,83203,17040000,4.603,4.624,215,URBAN PRIN ART OTHER,DIVIDED,,SR  780,1,SARASOTA,63500,7,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-02001,Potential Location,0.906000018,1,13357.2024403125,0.0858304166656285,0.036209707030812,0.143631837888888,0.259838175452586,0.844960219065301,215008.666392414,,155623.180676711,12.9322298110415,130.559740526489,1743912.88476698,13357.2024403125,1730555.68232667,CIS,1,17,17040000 = 4.618|17A04518 = .239,FRUITVILLE RD|PARAMOUNT DR,29250,17040000,17A04518,Y,-82.45732,27.33796782,10,3.85209723027522,On-System / Off-System,On Corridor,"456052-1, 454316-1",2,111,0.02,100,0,0.1,Verified Match,"456052-1, 454316-1",2
12278,26026,10310000,6.01,6.516,TAMPA-ST PETERSBURG,URBAN PRIN ART OTHER,DIVIDED,,SR  580,7,HILLSBOROUGH,38000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-00668,Potential Location,0.906000018,1,13357.2024403125,0.0822491884953892,0.0399496058406176,0.170106276206373,0.328783119725724,1.19541718279094,289701.423291271,,162399.200340576,17.4248110341319,175.915433036691,2349738.05144631,13357.2024403125,2336380.849006,SI,7,10,10310000 = 6.364|10A09389 = .557,E BUSCH BLVD|N 50TH ST,19750,10310000,10A09389,Y,-82.40164895,28.03264,10,4.24995888197272,On-System / Off-System,On Corridor,438702-1,5,2667,0.51,100,0,0.7,Verified Match,438702-1,5
115968,266377,93030000,4.285,4.34555555468019,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  806,4,PALM BEACH,41500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04677,Potential Location,0.906000018,1,13357.2024403125,0.0799519803393229,0.0312954894471064,0.104622877129743,0.161731434514973,0.507809292269471,100541.323507867,,167065.310748069,8.13454291395225,61.0517209823503,815480.196490727,13357.2024403125,802122.994050415,CIS,4,93,93030000 = 4.3|93A18199 = 0,VIA FLORA|W ATLANTIC AVE,17750,93030000,93A18199,Y,-80.1361213,26.45650643,10,3.32930802551711,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
117457,273240,93180000,2.689,3.30569999999716,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  802,4,PALM BEACH,41000,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-04688,Potential Location,0.906000018,1,13357.2024403125,0.0772861167678575,0.0302519942777042,0.101134404227654,0.156338773347552,0.490877250214135,97188.9431086699,,172827.967025866,7.8633103374383,59.0160545954595,788289.388460087,13357.2024403125,774932.186019774,CIC,4,93,93180000 = 3.164,FOUNTAINS DR|LAKE WORTH RD|POINCIANA DR,20250,93180000,93A01526,Y,-80.15363,26.61764982,10,3.21829787985536,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
77622,146059,72160000,2.8051432831928,3.036,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR   13,2,DUVAL,57500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-02019,Potential Location,0.906000018,1,13357.2024403125,0.0769300793785913,0.0373660385553158,0.159105391442087,0.307520499126369,1.11810876733203,270966.241705081,,173627.826049399,16.2979370439366,164.538866279398,2197778.94619343,13357.2024403125,2184421.74375312,CIS,2,72,72160000 = 2.916|72A00445 = .695,CLAIRE LN|SAN JOSE BLVD,26000,72160000,72A00445,Y,-81.62789531,30.17529,10,3.97511124579958,On-System / Off-System,On Corridor,209697-6,1,1222,0.23,100,0,0.9,Verified Match,209697-6,1
67463,143489,72190000,6.663,6.695,JACKSONVILLE,URBAN PRIN ART OTHER,DIVIDED,US   90,SR  212,2,DUVAL,55500,6,45,1,PPFYA,Change Left-Turn Phasing from Protected-Permissive to Protected-Only,,PPFYA-02206,Potential Location,0.906000018,1,13357.2024403125,0.0726814192907677,0.0306624737632926,0.121627812594394,0.220031640431035,0.715514503502315,182069.895968172,,183777.402404265,10.9510457222011,110.55832666719,1476749.95075585,13357.2024403125,1463392.74831554,CIS,2,72,72190000 = 6.676|72A00740 = .012,BEACH BLVD|CORTEZ RD,21500,72190000,72A00740,Y,-81.52775744,30.28693643,10,3.26196591859907,On-System / Off-System,On Corridor,209543-6,1,168,0.03,100,0,0.8,Verified Match,209543-6,1
