OBJECTID_1,OBJECTID,ROADWAY,CCTXTCLS,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_C,CONTYDOT,AADT_2024,NOLANES_To,MAXSPEED_M,IsSignaliz,Countermea,Counterme1,Counterme2,LocationID,LocationSt,CrashModif,CostScenar,CostEstima,TotalLives,Crash_Save,Crash_Sav1,Crash_Sav2,Crash_Sav3,Benefit_Al,Benefit_KA,CostPerLif,CrashSavin,Crash_Sav4,CostBenefi,PresentVal,PresentVa1,NetPresent,FDOT Manag,FDOT Count,Intersecti,Intersect1,Entering V,AADT Major,AADT Minor,Signalized,CentralPoi,CentralPo1,Counterme3,Serious In,Intersect2,ROADWAY_OR,LRS_SOURCE,LRS_PARENT,LRS_SUB_ID,LOCATION,BEGIN_POST,END_POST,LRS_ROAD_N,_orig_fid,Match_Stat,Matched_ID,Match_Cnt,Ovl_Ft,Ovl_Mi,Ovl_Pct,Ang_Dif,Min_Ft,QC_Flag,_matched_refs,WP_IDs,WP_Count
9983,23787,10020000,URBAN GENERAL,TAMPA-ST PETERSBURG,URBAN MINOR ART,NOT DIVIDED,USB  41,SR  685,7,HILLSBOROUGH,10500,4,35,0,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-00958,Potential Location,0.870000005,1,5408.8083328125,0.0000316634752632784,0.0000218765829091741,0.000103338069268336,0.000166665019794892,0.000669250727155656,108.865245510294,NaN,170821689.275698,0.00964296746654387,0.000964296746654387,0.163251238719481,882.99466032789,5408.8083328125,-4525.81367248461,7,10,10020000 = 3.065,N FLORIDA AVE,7900,10020000,10A31255,N,NaN,NaN,10,0.00168281413466009,On-System / Off-System,10020000,1,LPI-00958,1,3.065,3.055,3.0749999999999997,N FLORIDA AVE,0,On Corridor,"438702-1, 456680-1, 440511-3",7,106,0.02,100,0,1.1,Verified Match,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","438702-1, 456680-1, 440511-3",7
87183,179151,79220000,URBAN GENERAL,DAYTONA BEACH-PORT ORANGE,URBAN MINOR ART,NOT DIVIDED,,SR  430,5,VOLUSIA,19100,4,35,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-00706,Potential Location,0.870000005,1,5408.8083328125,0.0000324539656194534,0.0000224227398825314,0.000105917942339852,0.000170825873578759,0.00068595881877481,111.583106578384,NaN,166660937.410077,0.00988370771137898,0.000988370771137898,0.167326866197777,905.038948193938,5408.8083328125,-4503.76938461856,5,79,79220000 = 1.496,MASON AVE,9800,79220000,79A10660,N,NaN,NaN,10,0.00172482621114958,On-System / Off-System,79220000,2,LPI-00706,1,1.496,1.486,1.506,MASON AVE,1,Off Corridor,,0,0,0,0,,,Unmatched,,,0
107975,237132,87250000,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  944,6,MIAMI-DADE,21000,4,40,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-00165,Potential Location,0.870000005,1,5408.8083328125,0.0000335090045826234,0.0000231516758934489,0.000109361205865107,0.000176379215030354,0.000708258505950903,125.936008503662,NaN,161413578.236142,0.0102050150319807,0.00102050150319807,0.188850071400113,1021.45383984117,5408.8083328125,-4387.35449297133,6,87,87250000 = 5,NW 54TH ST,6550,87250000,87A41133,N,NaN,NaN,10,0.001780898214146,On-System / Off-System,87250000,3,LPI-00165,1,5,4.99,5.01,NW 54TH ST,2,Off Corridor,,0,0,0,0,,,Unmatched,,,0
18584,64000,15090000,URBAN GENERAL,TAMPA-ST PETERSBURG,URBAN MINOR ART,DIVIDED,US   92,SR  687,7,PINELLAS,29000,4,35,0,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-01770,Potential Location,0.870000005,1,5408.8083328125,0.0000408555907536194,0.000028227499066137,0.000133337791641358,0.000215048973148597,0.000863538622746955,153.54648962739,NaN,132388449.97813,0.0124423844567841,0.00124423844567841,0.230253966867039,1245.39957465358,5408.8083328125,-4163.40875815892,7,15,15090000 = 1.364,4TH ST N,13000,15090000,15A19357,N,NaN,NaN,10,0.00217134616552385,On-System / Off-System,15090000,4,LPI-01770,1,1.364,1.354,1.374,4TH ST N,3,On Corridor,"454084-1, 447919-1",3,106,0.02,100,0,1.1,Verified Match,"[object Object],[object Object],[object Object]","454084-1, 447919-1",3
100623,229658,87190000,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  909,6,MIAMI-DADE,23500,3,40,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-02567,Potential Location,0.870000005,1,5408.8083328125,0.0000416160100337184,0.00002875287965966,0.000135819523655499,0.000219051543722936,0.00087961112116723,136.539177967191,NaN,129969411.494041,0.012673966692087,0.0012673966692087,0.204750284008462,1107.4550422907,5408.8083328125,-4301.3532905218,6,87,87190000 = .797,W DIXIE HWY,9250,87190000,87A38006,N,NaN,NaN,10,0.00221176005888769,On-System / Off-System,87190000,5,LPI-02567,1,0.797,0.787,0.807,W DIXIE HWY,4,Off Corridor,,0,0,0,0,,,Unmatched,,,0
64789,143029,72150000,URBAN GENERAL,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR  115,2,DUVAL,31500,4,35,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-01433,Potential Location,0.870000005,1,5408.8083328125,0.0000416195106275588,0.0000287552982517679,0.000135830948320851,0.000219069969575969,0.000879685110991584,156.41750954991,NaN,129958479.839285,0.0126750327820293,0.00126750327820293,0.23455926702544,1268.68611802559,5408.8083328125,-4140.12221478691,2,72,72150000 = 4.733,LEM TURNER RD,13000,72150000,72A13526,N,NaN,NaN,10,0.00221194610444161,On-System / Off-System,72150000,6,LPI-01433,1,4.733,4.723,4.742999999999999,LEM TURNER RD,5,On Corridor,"437320-1, 437437-2, 403920-5",6,106,0.02,100,0.2,0.1,Verified Match,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","437320-1, 437437-2, 403920-5",6
98201,206491,86210000,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  736,4,BROWARD,26500,4,40,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-01621,Potential Location,0.870000005,1,5408.8083328125,0.0000424805827388131,0.0000293502208013618,0.000138641174574854,0.00022360234005248,0.000897885044252185,159.653654164645,NaN,127324249.90655,0.0129372683795476,0.00129372683795476,0.239412097830666,1294.93414972263,5408.8083328125,-4113.87418308987,4,86,86210000 = .528,DAVIE BLVD,12750,86210000,86A31641,N,NaN,NaN,10,0.00225770937924742,On-System / Off-System,86210000,7,LPI-01621,1,0.528,0.518,0.538,DAVIE BLVD,6,On Corridor,448414-1,1,106,0.02,100,0,0.3,Verified Match,[object Object],448414-1,1
19064,34561,11040000,URBAN GENERAL,LEESBURG-EUSTIS-TAVARES,URBAN PRIN ART OTHER,DIVIDED,US   27,SR   25,5,LAKE,22500,4,35,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-02347,Potential Location,0.870000005,1,5408.8083328125,0.0000428204345801421,0.0000295850275280982,0.000139750327402464,0.000225391196562748,0.000905068276353004,160.930910380182,NaN,126313718.808469,0.0130407687130433,0.00130407687130433,0.241327435075083,1305.29384177038,5408.8083328125,-4103.51449104212,5,11,11040000 = 3.955,N 14TH ST,10800,11040000,11A04842,N,NaN,NaN,10,0.00227577143584492,On-System / Off-System,11040000,8,LPI-02347,1,3.955,3.9450000000000003,3.965,N 14TH ST,7,Off Corridor,,0,0,0,0,,,Unmatched,,,0
96925,207373,86210000,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  736,4,BROWARD,26500,4,40,0,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-00393,Potential Location,0.870000005,1,5408.8083328125,0.0000430859191136189,0.0000297684532057731,0.000140616772379902,0.00022678861060714,0.0009106796539924,161.92867390321,NaN,125535405.628677,0.0131216208209658,0.00131216208209658,0.242823652994034,1313.3865977181,5408.8083328125,-4095.4217350944,4,86,86210000 = .786,DAVIE BLVD,12750,86210000,86A31642,N,NaN,NaN,10,0.00228988110390105,On-System / Off-System,86210000,9,LPI-00393,1,0.786,0.776,0.796,DAVIE BLVD,8,On Corridor,448414-1,1,106,0.02,100,0,0.4,Verified Match,[object Object],448414-1,1
110761,266797,93050000,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,US    1,SR  805,4,PALM BEACH,25500,4,35,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-01871,Potential Location,0.870000005,1,5408.8083328125,0.0000435887609324242,0.0000301158711896749,0.000142257865224912,0.00022943538708976,0.000921307901526238,163.818491054087,NaN,124087223.79601,0.0132747590112383,0.00132747590112383,0.245657569267201,1328.7147076709,5408.8083328125,-4080.0936251416,4,93,93050000 = 3.874,S DIXIE HWY,11500,93050000,93A13989,N,NaN,NaN,10,0.00231660556522905,On-System / Off-System,93050000,10,LPI-01871,1,3.874,3.8640000000000003,3.884,S DIXIE HWY,9,Off Corridor,,0,0,0,0,,,Unmatched,,,0
107105,227833,87030000,URBAN GENERAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,US    1,SR    5,6,MIAMI-DADE,41500,4,35,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-01785,Potential Location,0.870000005,1,5408.8083328125,0.0000504007289454128,0.0000348223218168307,0.000164489651740029,0.000265291109630855,0.00106528813452804,189.419730849055,NaN,107316073.516924,0.015349312906103,0.0015349312906103,0.28404846334632,1536.36369547016,5408.8083328125,-3872.44463734234,6,87,87030000 = 15.476,BISCAYNE BLVD,17000,87030000,87A25684,N,NaN,NaN,10,0.00267864024278083,On-System / Off-System,87030000,11,LPI-01785,1,15.476,15.466000000000001,15.486,BISCAYNE BLVD,10,On Corridor,"445996-1, 447214-1",3,106,0.02,100,0,0.3,Verified Match,"[object Object],[object Object],[object Object]","445996-1, 447214-1",3
104914,226619,87053000,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  968,6,MIAMI-DADE,37500,4,40,1,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-00746,Potential Location,0.870000005,1,5408.8083328125,0.0000560051291762694,0.0000386944528854225,0.000182780376129825,0.000294790634482364,0.00118374477577115,210.482600484313,NaN,96577017.3619085,0.0170561075218639,0.00170561075218639,0.31563374607659,1707.20243589589,5408.8083328125,-3701.60589691661,6,87,87053000 = 4.652,W FLAGLER ST,17000,87053000,87A32694,N,NaN,NaN,10,0.00297649649028236,On-System / Off-System,87053000,12,LPI-00746,1,4.652,4.642,4.662,W FLAGLER ST,11,On Corridor,437782-3,1,106,0.02,100,0.7,0.2,Verified Match,[object Object],437782-3,1
104447,237754,87281000,URBAN GENERAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  953,6,MIAMI-DADE,22000,4,35,0,LPI,Implement a Leading Pedestrian Interval (LPI),NaN,LPI-00609,Potential Location,0.870000005,1,5408.8083328125,0.0000560212667537288,0.0000387056024843944,0.000182833043314442,0.0002948755768219,0.00118408586547654,210.543249916234,NaN,96549197.2287915,0.0170610221477265,0.00170610221477265,0.315724694246892,1707.69435711727,5408.8083328125,-3701.11397569523,6,87,87281000 = .311,SW 42ND AVE,9950,87281000,87A43869,N,NaN,NaN,10,0.00297735415177473,On-System / Off-System,87281000,13,LPI-00609,1,0.311,0.301,0.321,SW 42ND AVE,12,On Corridor,446002-1,1,106,0.02,100,1.2,0.2,Verified Match,[object Object],446002-1,1
