OBJECTID_1,OBJECTID,ROADWAY,BEGIN_POST,END_POST,CCTXTCLS,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_C,CONTYDOT,AADT_2024,NOLANES_To,MAXSPEED_M,IsSignaliz,IsIntercha,Countermea,Counterme1,Counterme2,Counterme3,LocationID,LocationSt,CrashModif,CostScenar,CostEstima,TotalLives,Crash_Save,Crash_Sav1,Crash_Sav2,Crash_Sav3,Benefit_Al,Benefit_KA,CostPerLif,CrashSavin,Crash_Sav4,CostBenefi,PresentVal,PresentVa1,NetPresent,Counterme4,Interchang,FDOT Manag,FDOT Count,Intersecti,Intersect1,Entering V,Avg Annual,Avg Annua1,Crash Inte,Signalized,Counterme5,Serious In,Intersect2,Match_Stat,Matched_ID,Match_Cnt,Ovl_Ft,Ovl_Mi,Ovl_Pct,Ang_Dif,Min_Ft,QC_Flag,WP_IDs,WP_Count
53713,123316,60040000,9.306,9.351,SUBURBAN COMMERCIAL,,RURAL PRIN ART OTHER,DIVIDED,US  331,SR   83,3,WALTON,30000,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-00828,Potential Location,0.850000024,1,11458.042365,0,0.00249829422863272,0.00499658845726544,0.00499658845726544,0.0391399429152459,11633.3320585705,,0,0.516314140584095,0.0516314140584095,8.23497949195228,94356.7438936954,11458.042365,92924.4885980704,,N,3,60,60040000 = 9.309|60A04390 = .227,MARQUIS WAY|US-331,12500,25000,,IS|R|2|D,Y,10,0.166552975223991,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
61816,120009,58010000,9.304,9.315,SUBURBAN COMMERCIAL,PENSACOLA,URBAN MINOR ART,DIVIDED,US   90,SR   10,3,SANTA ROSA,39500,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02748,Potential Location,0.850000024,1,15754.808251875,0,0.00154547217288186,0.00309094434576373,0.00309094434576373,0.0242123973751492,6436.72365874351,,0,0.319397582395585,0.0319397582395585,3.31375627820568,52207.5947565774,15754.808251875,50775.3394609524,,N,3,58,58005100 = .008|58010000 = 9.306,AVALON BLVD|US-90|WORLEY BLVD,44000,35000,21500,IS|R|2|D,Y,10,0.103031494677163,On-System / On-System,On Corridor,"457656-1, 451524-3",3,58,0.01,100,0.2,1.9,Verified Parallel Fallback,"457656-1, 451524-3",3
68762,144285,72150000,7.254,7.373,SUBURBAN COMMERCIAL,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR  115,2,DUVAL,15200,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03262,Potential Location,0.850000024,1,11458.042365,0.00162080558630386,0.000607802094863948,0.00340369173123811,0.00532839836497394,0.0207463115046894,6815.39216677919,,7069350.24275756,0.302482842543958,0.0302482842543958,4.82446597762939,55278.9355601786,11458.042365,53846.6802645536,,N,2,72,72150000 = 7.354|72A07773 = 0,LEM TURNER RD,7250,14500,,IS|U|3|D,Y,10,0.0405201461408199,On-System / Off-System,On Corridor,"437320-1, 447225-1",4,630,0.12,100,0,0.6,Verified Match,"437320-1, 447225-1",4
42160,96902,36220000,8.571,8.65391724306173,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR  500,5,MARION,29500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03297,Potential Location,0.850000024,1,22916.08473,0.00176274786257999,0.000661030448467496,0.00370177051141798,0.00579503359823171,0.0225631726410239,7412.25109054019,,13000205.6541765,0.32897281985399,0.032897281985399,2.62348463073526,60119.9960857821,22916.08473,58687.7407901571,,N,5,36,36050000 = 6.862|36220000 = 8.593|36A01914 = .337|36A03298 = 0,5TH ST|SE ABSHIER BLVD|SE BABB RD|SE MAGNOLIA RD|US-301,30100,30500,13500,IS|U|3|D,Y,10,0.0440687036154923,On-System / On-System,Off Corridor,,0,0,0,0,32.7,191.1,No Match - Angle Mismatch,,0
50355,113309,55080000,1.424,1.543,URBAN GENERAL,TALLAHASSEE,URBAN PRIN ART OTHER,DIVIDED,US   27,SR   20,3,LEON,33000,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02521,Potential Location,0.850000024,1,14322.55295625,0.00181921857492496,0.000682206965596859,0.00382035900734241,0.0059806810650658,0.0232859977590395,4189.7776721698,,7872914.86227311,0.33951166654537,0.033951166654537,2.37268105354141,33982.8500376379,14322.55295625,32550.5947420129,,N,3,55,55080000 = 1.542|55210000 = .109,APALACHEE PKWY|E LAFAYETTE ST,17450,31000,3900,IS|U|3|D,Y,10,0.0454804716499994,On-System / On-System,On Corridor,453817-1,1,334,0.06,53,5.9,164.3,Verified Match,453817-1,1
102797,236288,87240000,9.231,9.263,URBAN GENERAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR    9,6,MIAMI-DADE,37000,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04845,Potential Location,0.850000024,1,17187.0635475,0.00183332066751612,0.000687495250318545,0.00384997340178385,0.00602704169445925,0.0234665045442063,4228.82485525551,,9374826.70218622,0.342143469575196,0.0342143469575196,1.99566130510483,34299.5576701235,17187.0635475,32867.3023744985,,N,6,87,87240000 = 9.242|87A12904 = 0,NW 110TH ST|NW 27TH AVE|STADIUM DR,39250,43000,,IS|U|3|D,Y,10,0.0458330240211869,On-System / Off-System,On Corridor,438076-1,4,169,0.03,100,0,0.3,Verified Match,438076-1,4
67850,144744,72170000,6.22,6.301,URBAN GENERAL,JACKSONVILLE,URBAN PRIN ART OTHER,DIVIDED,,SR   21,2,DUVAL,26500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01085,Potential Location,0.850000024,1,15754.808251875,0.00186093962214871,0.000697852358305765,0.00390797320651228,0.00611783900781387,0.0238200271635034,4285.86393389061,,8466050.19548348,0.347297856983502,0.0347297856983502,2.20644993810992,34762.1956922833,15754.808251875,33329.9403966583,,N,2,72,72170000 = 6.238|72291000 = .03,BLANDING BLVD|CASSAT AVE,16800,26500,7100,IS|U|3|D,Y,10,0.0465234979974773,On-System / On-System,Off Corridor,,0,0,0,0,47.2,151.5,No Match - Angle Mismatch,,0
18927,34312,11040000,5.285,5.295,SUBURBAN COMMERCIAL,LEESBURG-EUSTIS-TAVARES,URBAN PRIN ART OTHER,DIVIDED,US   27,SR   25,5,LAKE,38500,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01719,Potential Location,0.850000024,1,20051.57413875,0.00190103963295113,0.000712889862356673,0.00399218322919737,0.00624966779332684,0.0243333073017744,5898.52662014646,,10547688.6389909,0.354781521499504,0.0354781521499504,2.3859640313876,47842.3346677592,20051.57413875,46410.0793721342,,N,5,11,11040000 = 5.287|11530000 = 4.927,LEE RD|MICHAEL LN|N 14TH ST|PICCIOLA RD,44800,44000,7600,IS|U|2|U,Y,10,0.047525998427938,On-System / On-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
67636,143559,72190000,10.481,10.485,SUBURBAN COMMERCIAL,JACKSONVILLE,URBAN PRIN ART OTHER,DIVIDED,US   90,SR  212,2,DUVAL,52500,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03842,Potential Location,0.850000024,1,17187.0635475,0.00190307424600778,0.000713652842252916,0.00399645591661633,0.00625635658375056,0.0243593503488995,5904.8395970399,,9031210.20294117,0.355161231161201,0.0355161231161201,2.78660391480113,47893.5385653994,17187.0635475,46461.2832697744,,N,2,72,72190000 = 10.484|72A00506 = 0,BEACH BLVD|BROUGHAM AVE,20500,41000,,IS|U|3|D,Y,10,0.0475768637624926,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
109433,228533,87072000,5.859,5.957,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  985,6,MIAMI-DADE,45500,6,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04525,Potential Location,0.850000024,1,14322.55295625,0.00190649929104395,0.00071493723414148,0.00400364851119229,0.00626761641930697,0.0244031909253625,4397.62215707567,,7512487.9529367,0.355800430191076,0.0355800430191076,2.49038387932497,35668.6549930232,14322.55295625,34236.3996973982,,N,6,87,87072000 = 5.923,SW 107TH AVE|SW 11TH ST,20250,40500,,IS|U|3|D,Y,10,0.047662489902097,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
